objectID,Title,ArtistName,Department,TimePeriod,Height,Width,H/W Ratio,Color,Region Detailed,Region Broad,Country
45523,Scroll of Mudras,Unavailable,Asian Art,11th–12th century,4000,2160,1.851851851851852,RGB,Japanf,Japan,Japan
45526,Buffalo and Herdsman,Kawanabe Kyōsai 河鍋暁斎,Asian Art,ca. 1887,2818,3811,0.7394384675938074,RGB,Japan,Japan,Japan
45528,Acrobats,Unavailable,Asian Art,ca. 1800s,3644,2333,1.561937419631376,RGB,Japan,Japan,Japan
45593,Buddha and Attendants,Unavailable,Asian Art,17th–18th century,2574,4000,0.6435,RGB,Japan,Japan,Japan
45596,Monju Bosatsu with Eight Sacred Sanskrit Syllables,Unavailable,Asian Art,mid- to late 14th century,3001,4000,0.75025,RGB,Japan,Japan,Japan
45598,Welcoming Descent of Jizō,Unavailable,Asian Art,early 14th century,2042,3880,0.5262886597938145,RGB,Japan,Japan,Japan
45599,Jizō Bosatsu in Welcoming Descent (Jizō bosatsu raigō),Unidentified artist,Asian Art,14th century,3456,5184,0.6666666666666666,RGB,Japan,Japan,Japan
45601,Mikaeri Jizō Bosatsu,Unidentified artist,Asian Art,14th century,2998,4000,0.7495,RGB,Japan,Japan,Japan
45603,Jizō Bosatsu,Unavailable,Asian Art,15th century,2998,4000,0.7495,RGB,Japan,Japan,Japan
45605,Scroll from the Compendium of Iconographic Drawings (Zuzōshō),Unavailable,Asian Art,late 12th century,4000,2173,1.8407731247123795,RGB,Japan,Japan,Japan
45612,One of the Twelve Devas: Bonten,Unavailable,Asian Art,14th century,1182,2000,0.591,RGB,Japan,Japan,Japan
45613,One of the Twelve Devas: Katen,Unavailable,Asian Art,14th century,1166,1999,0.5832916458229115,RGB,Japan,Japan,Japan
45615,Scroll 9 of Collected Iconography (Zuzōshō): Ten (Devas),Unavailable,Asian Art,13th century,4000,2038,1.96270853778214,RGB,Japan,Japan,Japan
45617,Iconographic Drawing of Saturn (Doyō),Unavailable,Asian Art,12th century,2288,4000,0.572,RGB,Japan,Japan,Japan
45618,"Gakkō Bosatsu, from “Album of Buddhist Deities from the Diamond World and Womb World Mandalas” (“Kontai butsugajō”)",Takuma Tametō,Asian Art,mid-12th century,3001,4000,0.75025,RGB,Japan,Japan,Japan
45619,Iconographic Drawing of the Bodhisattva Memyō (Ashvaghosha),Unavailable,Asian Art,12th century,1500,2000,0.75,RGB,Japan,Japan,Japan
45620,Kongōyasha Myōō,Unavailable,Asian Art,12th century,1384,1995,0.693734335839599,RGB,Japan,Japan,Japan
45621,Daiitoku Myōō,Unavailable,Asian Art,12th century,3001,4000,0.75025,RGB,Japan,Japan,Japan
45622,Anchira-taisho Jochi,Unavailable,Asian Art,1164,1500,2000,0.75,RGB,Japan,Japan,Japan
45623,Benzaiten and Fifteen Attendants,Unavailable,Asian Art,13th century,1500,2000,0.75,RGB,Japan,Japan,Japan
45624,"“Parable of the Medicinal Herbs,” Chapter 5 of the Lotus Sutra",Unidentified artist,Asian Art,12th century,781,882,0.8854875283446711,RGB,Japan,Japan,Japan
45625,Arhat from a series of sixteen Arhats,Unavailable,Asian Art,14th century,2054,3880,0.5293814432989691,RGB,Japan,Japan,Japan
45626,Arhats,Unavailable,Asian Art,late 14th century,2059,3880,0.5306701030927835,RGB,Japan,Japan,Japan
45628,Portrait of Jianzhen,Unavailable,Asian Art,15th century,2998,4000,0.7495,RGB,Japan,Japan,Japan
