objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture,Height,Width,H/W Ratio,Color
36138,Listening to the Zither Among Streams and Pines,Xie Shichen,Unavailable,China,China,Unavailable,Asian Art,1139,2219,0.513294277,RGB
36146,Copy of a Portrait of Zhao Mengfu,Unidentified artist,19th century,China,China,1900's,Asian Art,2111,4000,0.52775,RGB
36160,Bringing the Message of Victory to Dongshan,Wang Su,1862,China,China,1800's,Asian Art,1140,2000,0.57,RGB
36168,Landscapes after old masters,Du Xiang,19th century,China,China,1900's,Asian Art,2634,4000,0.6585,RGB
36170,"Animals, Flowers and Birds",Ren Yi (Ren Bonian),19th century,China,China,1900's,Asian Art,4000,3176,1.259445844,RGB
36171,Landscapes,Zhang Zhiwan,dated 1875,China,China,1800's,Asian Art,3714,4000,0.9285,RGB
36184,Insects and Flowers,Ju Lian,Unavailable,China,China,Unavailable,Asian Art,2000,1792,1.116071429,RGB
36430,Tiger,Unidentified,14th century,China,China,1400's,Asian Art,2998,4000,0.7495,RGB
36431,Dragon,Unidentified,14th century,China,China,1400's,Asian Art,2998,4000,0.7495,RGB
36432,Plum Blossoms,Jin Nong,dated 1757,China,China,1700's,Asian Art,1882,1585,1.187381703,RGB
36433,Portrait of Ren'an in a Landscape,Shitao (Zhu Ruoji),dated 1684,China,China,1600's,Asian Art,948,629,1.507154213,RGB
36457,Grapevine in the Wind,Unidentified artist,16th century,Korea,Korea,1600's,Asian Art,2153,4000,0.53825,RGB
36459,Peacock and Hollyhocks,Bian Lu,mid-14th century,China,China,1400's,Asian Art,2241,3713,0.603555077,RGB
37393,Zhong Kui,Ren Yi (Ren Bonian),dated 1883,China,China,1800's,Asian Art,1108,1982,0.559031282,RGB
37394,Boating beneath Echo Hill,Mei Qing,datable to 1673,China,China,1600's,Asian Art,2125,3766,0.564259161,RGB
37395,Miscellaneous Studies,Chen Hongshou,one leaf dated 1619,China,China,1600's,Asian Art,3351,3849,0.870615744,RGB
37396,"Figures, flowers, and landscapes",Chen Hongshou,one leaf dated 1627,China,China,1600's,Asian Art,1697,1904,0.891281513,RGB
37793,Pair of Hindu Manuscript Covers,Unavailable,12th century,Nepal (Kathmandu Valley),Nepal,1200's,Asian Art,925,543,1.703499079,RGB
37800,Sadaksari-Lokeshvara Surrounded by Manifestations and Monks,Unavailable,late 15th century,China,China,1500's,Asian Art,2978,3722,0.800107469,RGB
37801,Portrait of Jnanatapa Attended by Lamas and Mahasiddhas,Unavailable,ca. 1350,"Eastern Tibet, Kham, Riwoche monastery",China,1300's,Asian Art,3211,4000,0.80275,RGB
37803,Mandala of Hevajra,Sakya School,16th century,China,China,1600's,Asian Art,2667,4000,0.66675,RGB
37811,Demons Fighting Over an Animal Limb,Unavailable,late 17th century,"India (Rajasthan, Bikaner or the Deccan)",India,1700's,Asian Art,2491,3811,0.653634217,RGB
37819,"Buddhist Attendant, Possibly a Dakini",Unavailable,late 18th century,Eastern Tibet,China,1800's,Asian Art,1114,1972,0.564908722,RGB
37855,Krishna's Parents Search for Him,Unavailable,ca. 1615,India,India,1600's,Asian Art,3985,3357,1.18707179,RGB
37869,A Lady Applying Henna to Her Foot,"Ustad Mohamed, son of Murad",ca. 1720–30,"India (Rajasthan, Bikaner)",India,1700's,Asian Art,2263,4000,0.56575,RGB
37873,Lady Musician Playing a Sitar,Unavailable,ca. 1800,"India (Rajasthan, Kota)",India,1800's,Asian Art,1239,2000,0.6195,RGB
37876,Portrait of Thakur Utham Ram,Unavailable,ca. 1760,"India (Rajasthan, Jhilai)",India,1700's,Asian Art,4000,3262,1.22624157,RGB
37877,Head of Krishna: cartoon for a mural of the Raslila,Sahib Ram,ca. 1800,"India (Rajasthan, Jaipur)",India,1800's,Asian Art,2713,3937,0.689103378,RGB
37878,Preparatory Study for a Portrait of Man Singh and His Harem,Unavailable,1810–15,"India (Rajasthan, Jodhpur)",India,1800's,Asian Art,3814,2657,1.435453519,RGB
37880,An Encampment of Yogis,Unavailable,ca. 1660,"India (Deccan, Aurangabad?)",India,1600's,Asian Art,2824,4000,0.706,RGB
37898,A King Seated on His Throne,Unavailable,1725,India (Gujarat),India,1700's,Asian Art,3533,2728,1.295087977,RGB
37913,Bishen Singh as a Young Man,Unavailable,ca. 1780,"India (Rajasthan, Uniara)",India,1700's,Asian Art,2779,4000,0.69475,RGB
37914,Maharana Sangram Singh Hunting Wild Boar,Unavailable,ca. 1725,"Western India, Rajasthan, Udaipur",India,1700's,Asian Art,4000,2843,1.406964474,RGB
37915,Maharana Amar Singh II or Sangram Singh Hunting Wild Boar,Unavailable,19th century,"Western India, Rajasthan, Udaipur",India,1900's,Asian Art,2697,4000,0.67425,RGB
37916,Maharana Jagat Singh II in Procession,Unavailable,ca. 1745,"India (Rajasthan, Mewar)",India,1700's,Asian Art,3041,4000,0.76025,RGB
37922,Horoscope with Floral Drawings,Unavailable,1850,"India (Madhya Pradesh, Gwalior or Indore)",India,1800's,Asian Art,3831,2675,1.432149533,RGB
37924,Double Sided Painting; Male with Flower/ Soldier,Unavailable,mid-late 19th century,India,India,1900's,Asian Art,4000,2873,1.392272885,RGB
37926,Priests before Shri Nathji,Unavailable,ca. 1820,"India (Rajasthan, Kota)",India,1800's,Asian Art,3275,4000,0.81875,RGB
37928,Seated Four-Armed Ganesha,Unavailable,ca. 1775,"India (Rajasthan, Bundi)",India,1700's,Asian Art,2688,4000,0.672,RGB
37945,Lady on a Terrace,Unavailable,18th century,"India (Punjab Hills, Chamba)",India,1800's,Asian Art,3128,4000,0.782,RGB
37959,Radha and Krishna on a Bed at Night,Unavailable,ca. 1830,"India (Punjab Hills, Sirmur)",India,1800's,Asian Art,2932,3791,0.77341071,RGB
37960,Hanuman Bearing the Mountaintop with Medicinal Herbs,Unavailable,ca. 1800,India (Rajasthan),India,1800's,Asian Art,2563,2841,0.902147131,RGB
37968,Krishna and the Gopis Take Shelter from the Rain,Unavailable,1760,"India (Rajasthan, Jaipur)",India,1700's,Asian Art,2845,3856,0.737811203,RGB
37970,"Portrait of a Lama, Possibly Dromton",Unavailable,last quarter of the 11th century,China,China,1100's,Asian Art,1440,1856,0.775862069,RGB
37971,Lineage Portrait of an Abbot,Unavailable,ca. 1350,Central Tibet,China,1300's,Asian Art,2905,3722,0.780494358,RGB
37974,Maharaja Fateh Singh Hunting Female Bears,Pannalai,dated 1917,"Western India, Rajasthan, Udaipur",India,1900's,Asian Art,4000,3274,1.221747098,RGB
37987,A Lady Gazing at Doves,Unavailable,ca. 1780–1800,"India (Punjab Hills, Mandi)",India,1700's,Asian Art,1444,1912,0.755230126,RGB
37989,The Churning of the Ocean of Milk,Unavailable,ca. 1780–90,"India (Punjab Hill, Mandi)",India,1700's,Asian Art,3726,3353,1.111243662,RGB
37990,Krishna Spying on Radha,Unavailable,ca. 1780–90,"India (Punjab Hills, Mandi)",India,1700's,Asian Art,3000,3767,0.7963897,RGB
37991,The Timid Bride,Unavailable,ca. 1800,"India (Punjab Hills, Kangra)",India,1800's,Asian Art,3235,4000,0.80875,RGB
