objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture
54616,Monkeys,Kawanabe Kyōsai 河鍋暁斎,March 1888,Japan,Japan,1800's,Asian Art
54617,Fish in a Whirlpool,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54618,Crow on a Bamboo Branch,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54619,Rocky Landscape,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54620,"Waterfall, Eagle and Monkey",Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54621,Crow on a Branch,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54622,Rabbits,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54623,Pheasant Caught by a Snake,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54624,Two Children Playing with Goldfish,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54625,Singing Bird on a Branch,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54626,Cat Catching a Frog,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54627,Crow on a Rock,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54629,Rats and Gourd,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54630,Deer and Monkeys,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54631,Crow and the Moon,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54633,Squirrels Gathering Chestnuts,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54634,Monkey Hanging from Grapevines,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54635,Starlings on a Branch,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54636,Cranes in Marsh,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54637,Fox Catching Bird,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54638,Eagle Holding Small Bird,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54639,Owl Mocked by Small Birds,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54640,Crow Flying in the Snow,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54641,Bird and Frog,Kawanabe Kyōsai 河鍋暁斎,ca. 1887,Japan,Japan,1800's,Asian Art
54642,Crow and Willow Tree,Kawanabe Kyōsai 河鍋暁斎,November 1887,Japan,Japan,1800's,Asian Art
54643,Crayfish,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54644,Birds on a Flowering Branch,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54645,Sparrows Flying,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54672,Egrets in a Tree at Night,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54673,Bird on Branch Watching Spider,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54674,Duck,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54675,Bird Catching Fish Among Reeds,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54676,Pigeons in a Tree,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54677,Lake and Mountains,Hashimoto Gahō,ca. 1885–89,Japan,Japan,1800's,Asian Art
54684,Three Birds on Branch,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54686,Boy with Cow at the River's Edge,Hashimoto Gahō,Unavailable,Japan,Japan,Unavailable,Asian Art
54687,Rapids and Fall of a River,Hashimoto Gahō,Unavailable,Japan,Japan,Unavailable,Asian Art
54688,Shakyamuni Conquering the Demons (Shaka Gōma-zu),Kawanabe Kyōsai 河鍋暁斎,ca. 1888,Japan,Japan,1800's,Asian Art
54692,Egrets at the Water's Edge,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54694,"Roses, Young Bird and a Butterfly",Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54695,Rooster and Hen with Chicks,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54698,Birds on a Branch,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54699,Ducks in the Rushes,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54700,Flying Goose,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54701,Lake and Causeway,Hashimoto Gahō,ca. 1885–89,Japan,Japan,1800's,Asian Art
54703,Eagle in a Tree,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54704,Ducks and Reeds,Kano Tan'yū,ca. 1650,Japan,Japan,1600's,Asian Art
54706,Bird on a Plum Tree,Kano Naonobu,Unavailable,Japan,Japan,Unavailable,Asian Art
54707,Squirrel on Bamboo,Kano Tan'yū,ca. 1650,Japan,Japan,1600's,Asian Art
54708,Blossoms by a River,Kawabata Gyokushō,1800,Japan,Japan,1800's,Asian Art
54709,Traveling by Moonlight,Kawabata Gyokushō,1800,Japan,Japan,1800's,Asian Art
54711,River Scene with Rocky Hills in Background,Kawabata Gyokushō,1868,Japan,Japan,1800's,Asian Art
54712,Cotton Rose Mallows in the Rain,Okada Baison,ca. 1891–92,Japan,Japan,1800's,Asian Art
54714,Fishes Swimming,Seki Shūkō,"Summer, 1891",Japan,Japan,1800's,Asian Art
54732,Hawk Holding a Small Bird,Okada Baison,ca. 1891–92,Japan,Japan,1800's,Asian Art
54733,A Swallow in the Rain,Okada Baison,ca. 1891–92,Japan,Japan,1800's,Asian Art
54734,School of Fishes,Seki Shūkō,ca. 1890–92,Japan,Japan,1800's,Asian Art
54735,Jumping fish,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54736,Fishes,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54737,Visiting a Friend,Seki Shūkō,1892,Japan,Japan,1800's,Asian Art
54738,Winter Scene,Seki Shūkō,1892,Japan,Japan,1800's,Asian Art
54739,Goldfish,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54740,Carp swimming,Watanabe Seitei,ca. 1887,Japan,Japan,1800's,Asian Art
54741,Bottom of the Sea Showing Cray Fish,Seki Shūkō,ca. 1890–92,Japan,Japan,1800's,Asian Art
54745,Small Birds and Bamboo,Kawabata Gyokushō,1887–92,Japan,Japan,1800's,Asian Art
54746,Pair of Ducks,Kawabata Gyokushō,1887–92,Japan,Japan,1800's,Asian Art
54747,Cat Seen from Behind,Kawabata Gyokushō,1868,Japan,Japan,1800's,Asian Art
54748,Bird at the Water's Edge,Kawabata Gyokushō,1887–92,Japan,Japan,1800's,Asian Art
54749,A Pair of Puppies,Kawabata Gyokushō,1868,Japan,Japan,1800's,Asian Art
54750,Squirrel Eating Chestnuts,Kawabata Gyokushō,1887–92,Japan,Japan,1800's,Asian Art
54751,Crane Among Reeds,Kawabata Gyokushō,1887–92,Japan,Japan,1800's,Asian Art
54752,Cock and Hen,Kawabata Gyokushō,1887–92,Japan,Japan,1800's,Asian Art
54753,Shrimp (Ebi),Seki Shūkō,ca. 1890–92,Japan,Japan,1800's,Asian Art
54754,Small Fishes,Seki Shūkō,ca. 1890–92,Japan,Japan,1800's,Asian Art
54757,Otters Swimming,Seki Shūkō,ca. 1890–92,Japan,Japan,1800's,Asian Art
54759,Three Fishes and a Branch,Seki Shūkō,ca. 1890–92,Japan,Japan,1800's,Asian Art
54760,Eels,Seki Shūkō,ca. 1890–92,Japan,Japan,1800's,Asian Art
54773,Flowers and Birds of the Four Seasons,Ikeda Koson,mid-19th century,Japan,Japan,1900's,Asian Art
54774,"Nunobiki Waterfall, Mount Yoshino, and Tatsuta River",Kano Tsunenobu,after 1709,Japan,Japan,1700's,Asian Art
54897,Dancer,Hishikawa Moronobu,Unavailable,Japan,Japan,Unavailable,Asian Art
54912,Washing the Horses in the Stream,Zhao Songxue,17th century,Korea,Korea,1700's,Asian Art
54914,"Vaisravana, Guardian of the North",Unidentified artist,16th century,China (?),China,1600's,Asian Art
54978,The Hell Courtesan,Seikei,late 19th century,Japan,Japan,1900's,Asian Art
55000,"Thirty paintings of birds, flowers and landscape",Unavailable,late 18th century,Japan,Japan,1800's,Asian Art
55034,Shiva Carries the Corpse of Sati,Unavailable,ca. 1865–75,"India (West Bengal, Calcutta, Khalighat)",India,1800's,Asian Art
55293,Fish and Lotus,Kano Yasunobu,Unavailable,Japan,Japan,Unavailable,Asian Art
55297,Misty Landscape with Rainbow,Katō Bunrei,Unavailable,Japan,Japan,Unavailable,Asian Art
55298,Bird on a Branch,Shiokawa Bunrin,Unavailable,Japan,Japan,Unavailable,Asian Art
55299,Landscape with the Moon,Shiokawa Bunrin,19th century,Japan,Japan,1900's,Asian Art
55300,River Gorge with Waterfall,Tani Bunchō,Unavailable,Japan,Japan,Unavailable,Asian Art
55302,Flowering Shrubs and Field Sparrows (?),Hasegawa Gyokuho,19th century,Japan,Japan,1900's,Asian Art
55303,Roses and Field Sparrow (?),Hasegawa Gyokuho,19th century,Japan,Japan,1900's,Asian Art
55304,Grapevine,Matsumura Goshun,after 1790,Japan,Japan,1700's,Asian Art
55314,Flowering Plum,Sakai Hōitsu,Unavailable,Japan,Japan,Unavailable,Asian Art
55379,Camellias,Ogata Kōrin,Unavailable,Japan,Japan,Unavailable,Asian Art
55380,Crested Bird on Stump of Plum Tree,Kano Naonobu,Unavailable,Japan,Japan,Unavailable,Asian Art
56098,Sketch for a Painting of Scholars at the Game of Go,Kano Tan'yū,dated 1666,Japan,Japan,1600's,Asian Art
57161,Noh Mask: Okina,Shibata Zeshin,dated 1879,Japan,Japan,1800's,Asian Art
57176,Bird on Tree (Haha-chō),Shūkō,Unavailable,Japan,Japan,Unavailable,Asian Art
57183,Blackbird on Wave-Swept Rock,Kano School,Unavailable,Japan,Japan,Unavailable,Asian Art
57185,Lacquer Paintings of Various Subjects: Bonsai,Shibata Zeshin,1882,Japan,Japan,1800's,Asian Art
57186,Lacquer Paintings of Various Subjects: Plum Branch with Oil Lamp,Shibata Zeshin,1882,Japan,Japan,1800's,Asian Art
57187,Lacquer Paintings of Various Subjects: Stack of Rice and Dragonflies,Shibata Zeshin,1882,Japan,Japan,1800's,Asian Art
57188,Lacquer Paintings of Various Subjects: Grasshopper on Gourd Vine,Shibata Zeshin,1882,Japan,Japan,1800's,Asian Art
57189,Lacquer Paintings of Various Subjects: Bird and Willow in Snow,Shibata Zeshin,1882,Japan,Japan,1800's,Asian Art
57190,Lacquer Paintings of Various Subjects: Snow Shelter for a Tree with Sparrow,Shibata Zeshin,1882,Japan,Japan,1800's,Asian Art
57191,Lacquer Paintings of Various Subjects: Sencha Tea Set,Shibata Zeshin,1882,Japan,Japan,1800's,Asian Art
57192,Lacquer Paintings of Various Subjects: Drum for Gagaku Dance,Shibata Zeshin,1882,Japan,Japan,1800's,Asian Art
57193,Lacquer Paintings of Various Subjects: Peonies,Shibata Zeshin,1882,Japan,Japan,1800's,Asian Art
57194,Lacquer Paintings of Various Subjects: Butterflies,Shibata Zeshin,dated 1881,Japan,Japan,1800's,Asian Art
57196,Mt. Fuji in Winter,Shibata Zeshin,dated 1890,Japan,Japan,1800's,Asian Art
57197,Kettle and Box with Paint Brushes,Shibata Zeshin,1882,Japan,Japan,1800's,Asian Art
57198,Cock on Drum,Shibata Zeshin,1882,Japan,Japan,1800's,Asian Art
57199,Lacquer Box and Gourd,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57200,Birds and Jutting Rocks,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57201,Fire Basket Suspended from Dock over a Fish Net in the Water,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57202,Fan and Insect Cage,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57203,Persimmons Branch and Wasp Nest above a Hedge,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57204,Cat Tails and Moon,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57205,Tea Ceremony Apparatus,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57206,Flower Baskets and Farmer's Hat,Shibata Zeshin,ca. 1880s,Japan,Japan,1800's,Asian Art
57207,Three Men Looking at Framed Lacquer Drawing,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57208,Tops,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57209,Sun and Plum Branches,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57210,Bear and Crabs,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57212,Overhanging Cliff,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57213,Mountains and Houses,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57214,Seaweed,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57215,Red Berry Plant and Butterfly,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57216,Flowers in Jardenierres,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57217,Morning Glory,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57218,Rice-Drying Frame,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57219,Maple Leaves,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57220,Rice Stacks and Trees,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57221,Fox by Mystic Fire,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57222,Crow on Tree,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57223,Worm on Green Leaved Plant,Shibata Zeshin,Unavailable,Japan,Japan,Unavailable,Asian Art
57232,Swallow,Kano Tsunenobu,Unavailable,Japan,Japan,Unavailable,Asian Art
57238,Sketches of East Asian Legendary Figures,Kawanabe Kyōsai 河鍋暁斎,late 19th century,Japan,Japan,1900's,Asian Art
57239,Painting of Jurōjin,Kano Tsunenobu,late 17th–early 18th century,Japan,Japan,1700's,Asian Art
57243,Village among Rocks,Shibata Zeshin,19th century,Japan,Japan,1900's,Asian Art
57249,Hanshan and Shide,Kenkō Shōkei 賢江祥啓,mid- to late 16th century,Japan,Japan,1600's,Asian Art
57317,Tortoises and Crabs,Shibata Zeshin,19th century,Japan,Japan,1900's,Asian Art
57342,Garden Scene,Shibata Zeshin,19th century,Japan,Japan,1900's,Asian Art
57556,"Seated Boddhisattva, Tara, on Lotus Throne",Unavailable,15th century,China (?),China,1500's,Asian Art
59004,Purification Rite,Ōtagaki Rengetsu,Unavailable,Japan,Japan,Unavailable,Asian Art
59005,Mountain Village in Autumn,Ōtagaki Rengetsu,Unavailable,Japan,Japan,Unavailable,Asian Art
59669,Portrait of Shun'oku Myōha,Unidentified artist,ca. 1383,Japan,Japan,1300's,Asian Art
60441,"The Poet Kiyohara Motosuke, from the “Tameshige Version” of Thirty-six Poetic Immortals (Tameshige-bon Jidai fudō utawase emaki)",Unidentified artist,15th century,Japan,Japan,1500's,Asian Art
60443,"The Poet Fujiwara Kiyotada, from the “Narikane Version” of Thirty-six Poetic Immortals",Unidentified artist,13th century,Japan,Japan,1300's,Asian Art
60786,Titmouse with Pomegranate Flowers,Kano Yukinobu 狩野之信,mid-16th century,Japan,Japan,1600's,Asian Art
61429,Maharana Sarup Singh Inspects a Prize Stallion,Tara,1845–46,"Western India, Rajasthan, Mewar",India,1800's,Asian Art
61825,Landscapes after Ancient Masters,Mei Qing,1693,China,China,1600's,Asian Art
62002,Guan Yu,Unidentified artist,ca. 1700,China,China,1700's,Asian Art
62739,Remote Valleys and Deep Forests,Liu Yu,dated 1678,China,China,1600's,Asian Art
62743,Landscape for Zhanting,Wang Yuanqi,dated 1710,China,China,1700's,Asian Art
62953,Album of Blossoming Plum,Li Fangying,1742,China,China,1700's,Asian Art
63956,The Chinese Explorer Zhang Qian on a Raft,Maejima Sōyū,mid-16th century,Japan,Japan,1600's,Asian Art
64533,Maharaja Bijay Singh in His Harem,Unavailable,ca. 1770,"India (Rajasthan, Jodhpur)",India,1700's,Asian Art
64534,Maharaja Raj Singh Adored by His Ladies,Unavailable,ca. 1710–20,"India (Rajasthan, Sawar)",India,1700's,Asian Art
64535,Pleasures of the Hunt,Unavailable,ca. 1800,"North India, Punjab Hills, Kangra",India,1800's,Asian Art
64891,Maharana Amar Singh II Riding a Jodhpur Horse,Stipple Master,ca. 1700–1710,"Western India, Rajasthan, Udaipur",India,1700's,Asian Art
65002,Jhujhar Singh on Horseback,Dalchand,ca. 1720–30,"India (Rajasthan, Jodhpur)",India,1700's,Asian Art
65003,Equestrian Portrait of a Nobleman,Unavailable,ca. 1710–20,"India (Rajasthan, Jodhpur)",India,1700's,Asian Art
65013,Horsemanship Competition for the Shunzhi Emperor,Nardunbu,dated 1662,China,China,1600's,Asian Art
65038,A Long Tale for an Autumn Night (Aki no yo nagamonogatari),Unidentified artist,ca. 1400,Japan,Japan,1400's,Asian Art
65394,"Fenggan, Hanshan, and Shide",Reisai,first half of the 15th century,Japan,Japan,1500's,Asian Art
65586,“Trees Encoiled in Vines of Ivy” (Yadorigi),Tawaraya Sōtatsu,early 17th century,Japan,Japan,1700's,Asian Art
65590,Maharana Amar Singh II Is Shown Two Silver Elephants,Stipple Master,ca. 1705,"India (Rajasthan, Mewar)",India,1700's,Asian Art
65594,"Radha and Krishna Walk in a Flowering Grove
 (recto); Krishna Fluting (verso)",The Kota Master,ca. 1720 (recto); ca. 1750–75 (verso),"India (Rajasthan, Kota)",India,1700's,Asian Art
65595,Radha Crosses a River to Interview a Hindu Sage,Chokha,ca. 1820,"India (Rajasthan, Mewar)",India,1800's,Asian Art
65624,"Snowscape, from Album for Zhou Lianggong",Yun Xiang,datable to 1645–55,China,China,1600's,Asian Art
65625,"Snowscape, leaf from Album for Zhou Lianggong",Ye Xin,datable to 1645–55,China,China,1600's,Asian Art
65640,Inn and Travelers in Snowy Mountains,Yuan Yao,dated 1745,China,China,1700's,Asian Art
72262,Landscapes after Tang Poems,Sheng Maoye,mid-17th century,China,China,1700's,Asian Art
72326,Map of the Grand Canal from Beijing to the Yangzi River,Unidentified artist,late 18th or early 19th century,China,China,1800's,Asian Art
72451,Niu Myōjin,Unavailable,early 14th century,Japan,Japan,1400's,Asian Art
72570,Portrait of a Warrior,Unidentified artist,late 16th century,Japan,Japan,1600's,Asian Art
72571,Ganesha Leads Shiva and Durga in Procession,Unavailable,18th century,India (Rajasthan),India,1800's,Asian Art
72573,Maharana Raj Singh II in Procession with Members of His Court,Unavailable,ca. 1755,"India (Rajasthan, Mewar)",India,1700's,Asian Art
72589,Maharana Sangram Singh Riding a Prize Stallion,Stipple Master,ca. 1712,"India (Rajasthan, Mewar)",India,1700's,Asian Art
72606,"Portrait of Bi Shichang, from the set Five Old Men of Suiyang",Unidentified artist,before 1056,China,China,1000's,Asian Art
72719,Krishna in the Form of Shri Nathji,Unavailable,ca. 1840,"India (Rajasthan, Mewar, Nathdwara)",India,1800's,Asian Art
72720,Maharaja Raj Singh in Procession with Members of His Court,Nihal Chand,ca. 1700,"India (Rajasthan, Junia)",India,1700's,Asian Art
72752,"Radha, the Beloved of Krishna",Unavailable,ca. 1750,"India (Rajasthan, Kishangarh)",India,1700's,Asian Art
72769,"Rice Culture, or Sowing and Reaping",Unidentified artist,before 1353,China,China,1300's,Asian Art
73169,Durga Confronts the Buffalo Demon Mahisha: Scene from the Devi Mahatmya,Unavailable,ca. 1780,"India, Guler, Himachal Pradesh",India,1700's,Asian Art
73260,Equestrian Portrait of Maharana Bhim Singh,Ghasi,ca. 1825,"India (Rajasthan, Mewar)",India,1800's,Asian Art
73261,Escapade at Night:,Chokha,ca. 1800–10,"India (Rajasthan, Mewar)",India,1800's,Asian Art
73296,"Navagunjara, a Universal Form of Krishna",Unavailable,ca. 1835,"India (Rajasthan, Jodhpur[?])",India,1800's,Asian Art
73348,The God of Good Fortune Jurōjin,Soga Shōhaku,ca. 1773,Japan,Japan,1700's,Asian Art
73355,Enjoying the Cool Breeze,Kaseki,Unavailable,Japan,Japan,Unavailable,Asian Art
73358,Bamboo and Plum in Early Spring,Okada Hankō,1843,Japan,Japan,1800's,Asian Art
73359,Ten Rakan Examining a Painting of White-Robed Kannon,Katō Nobukiyo,1788–92,Japan,Japan,1700's,Asian Art
73370,Kumano Shrine Mandala,Unidentified artist,early 14th century,Japan,Japan,1400's,Asian Art
73817,The Tenth King of Hell,Unavailable,1798,Korea,Korea,1700's,Asian Art
73821,Dragon Amid Clouds and Waves,Unidentified artist,15th–16th century,China,China,1500's,Asian Art
74448,Gathering of government officials,Unidentified artist,ca. 1551,Korea,Korea,1500's,Asian Art
74462,Album of Copies of Chinese Paintings,Kano Tsunenobu,17th century,Japan,Japan,1700's,Asian Art
74648,Varaha Triumphant,Unavailable,late 18th century,"India (Rajasthan, Sawar)",India,1800's,Asian Art
74650,Mara Bringing the Demons to Life,Seu Family,mid-18th century,"India (Pahari Hills, Guler)",India,1800's,Asian Art
74651,Building the Bridge to Lanka,Seu Family,mid-18th century,"India (Pahari Hills, Guler)",India,1800's,Asian Art
74653,"The Goddess Durga Killing the Buffalo Demon, Mahisha (Mahishasura Mardini)",Unavailable,ca. 1760,"India (Rajasthan, Mewar)",India,1700's,Asian Art
74657,Battle Scene from a Devi Mahatmya,Unavailable,late 18th century,"India (Pahari Hills, Guler)",India,1800's,Asian Art
74658,"Durga, Kali, and Five Matrikas Battle the Daitya Army of the Demon Shumbha: Scene from the Devi Mahatmya",Unavailable,ca. 1780,"India (Himachal Pradesh, Guler)",India,1700's,Asian Art
74659,Durga Confronts the Army of the Demon Chikshura: Scene from the Devi Mahatmya,Unavailable,ca. 1780,"India (Himachal Pradesh, Guler)",India,1700's,Asian Art
74668,Shiva and Parvati,Unavailable,19th century,India (Pahari Hills),India,1900's,Asian Art
74669,Nobleman Hunting a Tiger,Unavailable,ca. 1830,"Western India, Rajasthan, Udaipur or Kota",India,1800's,Asian Art
74671,Design for a Bangle,Unavailable,early 19th century,India (Pahari Hills),India,1900's,Asian Art
74673,Lovers Returning to a Palace,Unavailable,late 18th century,"India (Rajasthan, Bundi)",India,1800's,Asian Art
74674,"Durga, Kali, and the Matrikas Battle the Demon Raktabija: Scene from the Devi Mahatmya",Nainsukh,ca. 1780,"India (Himachal Pradesh, Guler)",India,1700's,Asian Art
74677,Krishna Subdues the Serpent Kaliya in the Yamuna River: Illustration from a Bhagavata Purana Series,Nainsukh,ca. 1780,"India (Pahari Hills, Guler or Kangra)",India,1700's,Asian Art
74679,Cityscape,Unavailable,19th century,India (Pahari Hills),India,1900's,Asian Art
74680,Woman with a Turban Dressed as Radha,Unavailable,late 19th century,"India (Rajasthan, Kishangarh)",India,1900's,Asian Art
74681,Woman Holding a Flute and Dressed as Krishna,Unavailable,mid-to late 18th century,"India (Rajasthan, Kishangarh)",India,1800's,Asian Art
74683,Drawing for an Illustration from a Sat Sai of Bihari Lal Series: The Message of the Eyes (recto); Lady in Search of Her Lover on a Dark Night (verso),Nainsukh,ca. 1785–90,"India (Pahari Hills, Kangra)",India,1700's,Asian Art
74685,A Lady with Attendants,Nainsukh,ca. 1775–80,"India (Pahari Hills, Kangra)",India,1700's,Asian Art
74686,Portrait of Manya Sahib Man Rup Sagarji,Manak,late 18th century,"India (Rajasthan, Bundi or Kotah)",India,1800's,Asian Art
74691,Abhisarika Nayika (Heroine Braving the Night),Unavailable,ca. 1800,"India (Pahari Hills, Kangra or Guler)",India,1800's,Asian Art
74692,Woman Leaving Her Lover,Unavailable,ca. 1790–1820,"India (Pahari Hills, Kangra or Guler)",India,1700's,Asian Art
74696,Design of Intertwining Animals and Plants,Unavailable,18th–19th century,India (Rajasthan),India,1800's,Asian Art
74698,A Swooning Lady,Unavailable,late 19th century,India (Rajasthan),India,1900's,Asian Art
74701,Scenes from the Bhagavata Purana,Unavailable,early 19th century,"India (Pahari Hills, Kangra)",India,1900's,Asian Art
74705,The Fountain Worker,Unavailable,early 19th century,India (Rajasthan),India,1900's,Asian Art
74710,Interior of the Taj Mahal Mausoleum,Unavailable,early 19th century,India (Delhi or Agra),India,1900's,Asian Art
74719,Worship of Brijnathji and Svamini (recto); Equestrian Portrait (verso),Unavailable,ca. 1800,"India (Rajasthan, Kotah)",India,1800's,Asian Art
74721,Portrait of a Sikh Noble,Unavailable,early 19th century,India (Punjab Plains),India,1900's,Asian Art
74725,A Maharana and His Retinue Hunting Boar,Unavailable,early 18th century,"Western India, Rajasthan, Udaipur",India,1800's,Asian Art
74726,War Chariot,Unavailable,mid-19th century,India (Rajasthan),India,1900's,Asian Art
74733,Krishna (dressed as a woman) Embracing Radha,Unavailable,19th century,"India (Rajasthan, Mewar)",India,1900's,Asian Art
74736,Linga Temple Compound,Unavailable,late 19th century,India (Rajasthan),India,1900's,Asian Art
74743,Maharaja Ranbir Singh,Unavailable,ca. 1860–80,India (Jammu),India,1800's,Asian Art
74744,Maharao Shatru Sal II (1866–89) Hunting a Tiger,Unavailable,ca. 1866–89,"India (Rajasthan, Kotah)",India,1800's,Asian Art
74749,Palace Interior,Ragunath,ca. 1880–1900,"India (Rajasthan, Nathadwara)",India,1800's,Asian Art
74750,Celebration of the Birth of Krishna (Janamashtami),Ragunath,ca. 1880–1900,"India (Rajasthan, Nathadwara)",India,1800's,Asian Art
74752,Desvarari Ragini: Folio from a ragamala series (Garland of Musical Modes),Unavailable,early 18th century,"India (Rajasthan, Bundi)",India,1800's,Asian Art
74753,Nobleman on Horseback,Unavailable,mid-18th century,"India (Rajasthan, Sawar)",India,1800's,Asian Art
74813,Shakyamuni triad,Unidentified artist,1565,Korea,Korea,1500's,Asian Art
74818,Discourse on Poetry,Gao Jian,1698,China,China,1600's,Asian Art
75235,Manuscript Painting with Hindu Tantric Scene Depicting Two Fish,Unavailable,1800–1820,"India (Punjab Hills, Kangra)",India,1800's,Asian Art
75297,"Shaka (Shakyamuni), the Historical Buddha, with Two Attendant Bodhisattvas and the Ten Great Disciples",Unavailable,early 14th century,Japan,Japan,1400's,Asian Art
75411,Pair of Manuscript Covers,Unavailable,early 19th century,Sri Lanka (Kandy or Colombo district),Sri Lanka,1900's,Asian Art
76811,The Actor Arashi Kitsusaburō I (Kichisaburō II) as Prince Koretaka,Shunkōsai Hokushū 春好斎北洲,1821,Japan,Japan,1800's,Asian Art
76969,The Final Scene from A Long Tale for an Autumn Night (Aki no yonaga monogatari),Unidentified artist,ca. 1400,Japan,Japan,1400's,Asian Art
76971,"Shaka (Shakyamuni), the Historical Buddha, with Two Attendant Bodhisattvas and Sixteen Benevolent Deities",Unidentified artist,late 14th century,Japan,Japan,1400's,Asian Art
77168,Cranes,Nagasawa Rosetsu 長澤蘆雪,late 1780s,Japan,Japan,1700's,Asian Art
77179,Hotei Pointing at the Moon,Fūgai Ekun,1650,Japan,Japan,1600's,Asian Art
77180,Parading Courtesan,Momokawa Shikō 百川子興,late 18th century,Japan,Japan,1800's,Asian Art
