objectID,Title,ArtistName,Department,TimePeriod,Region,Height,Width,H/W Ratio,Color
36170,"Animals, Flowers and Birds",Ren Yi (Ren Bonian),Asian Art,19th century,China,4000,3176,1.2594458438287153,RGB
36171,Landscapes,Zhang Zhiwan,Asian Art,dated 1875,China,3714,4000,0.9285,RGB
36184,Insects and Flowers,Ju Lian,Asian Art,Unavailable,China,2000,1792,1.1160714285714286,RGB
36430,Tiger,Unidentified,Asian Art,14th century,China,2998,4000,0.7495,RGB
36431,Dragon,Unidentified,Asian Art,14th century,China,2998,4000,0.7495,RGB
36432,Plum Blossoms,Jin Nong,Asian Art,dated 1757,China,1882,1585,1.1873817034700316,RGB
36433,Portrait of Ren'an in a Landscape,Shitao (Zhu Ruoji),Asian Art,dated 1684,China,948,629,1.507154213036566,RGB
36457,Grapevine in the Wind,Unidentified artist,Asian Art,16th century,Korea,2153,4000,0.53825,RGB
36459,Peacock and Hollyhocks,Bian Lu,Asian Art,mid-14th century,China,2241,3713,0.6035550767573391,RGB
37393,Zhong Kui,Ren Yi (Ren Bonian),Asian Art,dated 1883,China,1108,1982,0.5590312815338042,RGB
37394,Boating beneath Echo Hill,Mei Qing,Asian Art,datable to 1673,China,2125,3766,0.564259160913436,RGB
37395,Miscellaneous Studies,Chen Hongshou,Asian Art,one leaf dated 1619,China,3351,3849,0.8706157443491817,RGB
37396,"Figures, flowers, and landscapes",Chen Hongshou,Asian Art,one leaf dated 1627,China,1697,1904,0.8912815126050421,RGB
37793,Pair of Hindu Manuscript Covers,Unavailable,Asian Art,12th century,Nepal (Kathmandu Valley),925,543,1.703499079189687,RGB
37800,Sadaksari-Lokeshvara Surrounded by Manifestations and Monks,Unavailable,Asian Art,late 15th century,Tibet,2978,3722,0.800107469102633,RGB
37801,Portrait of Jnanatapa Attended by Lamas and Mahasiddhas,Unavailable,Asian Art,ca. 1350,"Eastern Tibet, Kham, Riwoche monastery",3211,4000,0.80275,RGB
37803,Mandala of Hevajra,Sakya School,Asian Art,16th century,Tibet,2667,4000,0.66675,RGB
37811,Demons Fighting Over an Animal Limb,Unavailable,Asian Art,late 17th century,"India (Rajasthan, Bikaner or the Deccan)",2491,3811,0.6536342167410129,RGB
37819,"Buddhist Attendant, Possibly a Dakini",Unavailable,Asian Art,late 18th century,Eastern Tibet,1114,1972,0.5649087221095335,RGB
37855,Krishna's Parents Search for Him,Unavailable,Asian Art,ca. 1615,India,3985,3357,1.1870717902889485,RGB
37869,A Lady Applying Henna to Her Foot,"Ustad Mohamed, son of Murad",Asian Art,ca. 1720–30,"India (Rajasthan, Bikaner)",2263,4000,0.56575,RGB
37873,Lady Musician Playing a Sitar,Unavailable,Asian Art,ca. 1800,"India (Rajasthan, Kota)",1239,2000,0.6195,RGB
37876,Portrait of Thakur Utham Ram,Unavailable,Asian Art,ca. 1760,"India (Rajasthan, Jhilai)",4000,3262,1.226241569589209,RGB
37877,Head of Krishna: cartoon for a mural of the Raslila,Sahib Ram,Asian Art,ca. 1800,"India (Rajasthan, Jaipur)",2713,3937,0.6891033782067564,RGB
37878,Preparatory Study for a Portrait of Man Singh and His Harem,Unavailable,Asian Art,1810–15,"India (Rajasthan, Jodhpur)",3814,2657,1.4354535190063982,RGB
37880,An Encampment of Yogis,Unavailable,Asian Art,ca. 1660,"India (Deccan, Aurangabad?)",2824,4000,0.706,RGB
37898,A King Seated on His Throne,Unavailable,Asian Art,1725,India (Gujarat),3533,2728,1.2950879765395895,RGB
37913,Bishen Singh as a Young Man,Unavailable,Asian Art,ca. 1780,"India (Rajasthan, Uniara)",2779,4000,0.69475,RGB
37914,Maharana Sangram Singh Hunting Wild Boar,Unavailable,Asian Art,ca. 1725,"Western India, Rajasthan, Udaipur",4000,2843,1.4069644741470277,RGB
37915,Maharana Amar Singh II or Sangram Singh Hunting Wild Boar,Unavailable,Asian Art,19th century,"Western India, Rajasthan, Udaipur",2697,4000,0.67425,RGB
37916,Maharana Jagat Singh II in Procession,Unavailable,Asian Art,ca. 1745,"India (Rajasthan, Mewar)",3041,4000,0.76025,RGB
37922,Horoscope with Floral Drawings,Unavailable,Asian Art,1850,"India (Madhya Pradesh, Gwalior or Indore)",3831,2675,1.4321495327102804,RGB
37924,Double Sided Painting; Male with Flower/ Soldier,Unavailable,Asian Art,mid-late 19th century,India,4000,2873,1.3922728854855553,RGB
37926,Priests before Shri Nathji,Unavailable,Asian Art,ca. 1820,"India (Rajasthan, Kota)",3275,4000,0.81875,RGB
37928,Seated Four-Armed Ganesha,Unavailable,Asian Art,ca. 1775,"India (Rajasthan, Bundi)",2688,4000,0.672,RGB
37945,Lady on a Terrace,Unavailable,Asian Art,18th century,"India (Punjab Hills, Chamba)",3128,4000,0.782,RGB
37959,Radha and Krishna on a Bed at Night,Unavailable,Asian Art,ca. 1830,"India (Punjab Hills, Sirmur)",2932,3791,0.77341070957531,RGB
37960,Hanuman Bearing the Mountaintop with Medicinal Herbs,Unavailable,Asian Art,ca. 1800,India (Rajasthan),2563,2841,0.9021471312917987,RGB
37968,Krishna and the Gopis Take Shelter from the Rain,Unavailable,Asian Art,1760,"India (Rajasthan, Jaipur)",2845,3856,0.7378112033195021,RGB
37970,"Portrait of a Lama, Possibly Dromton",Unavailable,Asian Art,last quarter of the 11th century,Tibet,1440,1856,0.7758620689655172,RGB
37971,Lineage Portrait of an Abbot,Unavailable,Asian Art,ca. 1350,Central Tibet,2905,3722,0.7804943578721117,RGB
37974,Maharaja Fateh Singh Hunting Female Bears,Pannalai,Asian Art,dated 1917,"Western India, Rajasthan, Udaipur",4000,3274,1.2217470983506413,RGB
37987,A Lady Gazing at Doves,Unavailable,Asian Art,ca. 1780–1800,"India (Punjab Hills, Mandi)",1444,1912,0.7552301255230126,RGB
37989,The Churning of the Ocean of Milk,Unavailable,Asian Art,ca. 1780–90,"India (Punjab Hill, Mandi)",3726,3353,1.1112436623918878,RGB
37990,Krishna Spying on Radha,Unavailable,Asian Art,ca. 1780–90,"India (Punjab Hills, Mandi)",3000,3767,0.7963897000265463,RGB
37991,The Timid Bride,Unavailable,Asian Art,ca. 1800,"India (Punjab Hills, Kangra)",3235,4000,0.80875,RGB
37992,"Abhisarika Nayika, a Heroine Longing for Her Lover",Unavailable,Asian Art,ca. 1790–1800,"India (Punjab Hills, Kangra)",2907,4000,0.72675,RGB
37993,Lady Holding a Sparkler,Unavailable,Asian Art,ca. 1800,"India (Punjab Hills, Kangra)",3143,4000,0.78575,RGB
38009,Raja Balwant Singh’s Vision of Krishna and Radha,Nainsukh,Asian Art,ca. 1745–50,"India, Punjab Hills, kingdom of Jasrota",3200,4000,0.8,RGB
38012,Melancholy Courtesan,Unavailable,Asian Art,ca. 1750,"India (Rajasthan, Bundi, or Kota [?])",3119,3707,0.8413811707580253,RGB
38013,"The Wrathful Bon Deity Walse Ngampa, One of the Five Fortress Meditational Deities",Unavailable,Asian Art,early 15th century,Tibet,1500,1769,0.847936687394008,RGB
38016,Maharaja Sidh Sen Receiving an Embassy,A Master of the Mandi atelier,Asian Art,ca. 1700–10,"India (Himachal Pradesh, Mandi)",2753,3722,0.7396560988715745,RGB
38020,Illustration from a Ragamala Series (Garland of Musical Modes),Unavailable,Asian Art,late 18th century,India (Punjab Hills),1314,1960,0.6704081632653062,RGB
38022,Krishna with an Ascetic,Unavailable,Asian Art,ca.1850,"India (Maharashtra, Marathi)",4000,2358,1.6963528413910094,RGB
38023,Folk Painting,Unavailable,Asian Art,1725,"India (Rajasthan, Marwar)",3718,2735,1.3594149908592321,RGB
38031,Prince with Four Attendants,Sri Prathi Singh of Ratlam,Asian Art,late 18th–early 19th century,India (Rajasthan),2861,3826,0.7477783585990591,RGB
38032,The Three Roads,Unavailable,Asian Art,ca. 1840,India (Hyderabad),3423,3796,0.9017386722866175,RGB
38035,A Holy Man Seated on a Terrace,Unavailable,Asian Art,ca. 1850,"India (Punjab Hills, Kangra)",2738,3914,0.6995401124169648,RGB
38038,A Lady Playing the Tanpura,Unavailable,Asian Art,ca. 1735,"India (Rajasthan, Kishangarh)",1263,2000,0.6315,RGB
38039,"Mahadevi, the Great Goddess",Unavailable,Asian Art,ca. 1725,"India (Rajasthan, Bikaner)",2043,3722,0.5488984416980118,RGB
38040,Maharana Jagat Singh Hawks for Cranes,Shiva and Dayal,Asian Art,dated 1744,"Western India, Rajasthan, Udaipur",3781,3514,1.0759817871371655,RGB
38041,A Prince Hunting Boars with His Retinue,Unavailable,Asian Art,late 18th–early 19th century,"Western India, Rajasthan, Jhilai",2000,1491,1.341381623071764,RGB
38042,Maharana Bhim Singh and Retinue Embark on a Hunt,Chokha,Asian Art,ca. 1805–10,"Western India, Rajasthan, Udaipur or Devgarh",2000,1847,1.0828370330265296,RGB
38043,Fortified City of Ranthambhor,Bagta,Asian Art,ca. 1810–18,"India (Jaipur, Rajasthan)",3811,2781,1.3703703703703705,RGB
38044,Maharaja Sardar Singh of Bikaner,Chotu,Asian Art,ca. 1860–70,"India (Rajasthan, Bikaner)",1113,1563,0.7120921305182342,RGB
38045,Maharana Sangram Singh II Hunts Hares at Naramangra,Unidentified artist,Asian Art,ca. 1720–30,"Western India, Rajasthan, Udaipur",900,497,1.8108651911468814,RGB
38046,Prince Padam Singh of Bikaner with His Bard Gordhar on a Terrace at Night,Bhavani Das,Asian Art,ca. 1725,"India, Rajasthan, Kishangarh",4000,3366,1.1883541295306002,RGB
38048,Shah Jahan Hunting Blackbuck with Trained Cheetahs,Unavailable,Asian Art,1710–15,"Western India, Rajasthan, Udaipur",3855,2554,1.509397024275646,RGB
38052,Buddha Within a Stupa,Unavailable,Asian Art,16th–17th century,Tibet,2271,3448,0.6586426914153132,RGB
38057,Sketch with Kali and a Young Boy,Unavailable,Asian Art,ca. 1800,"India (Punjab Hills, Kangra?)",2813,4000,0.70325,RGB
38058,"Maharana Amar Singh II, Prince Sangram Singh and Courtiers Watch a Performance",Unavailable,Asian Art,ca. 1705–8,"India (Rajasthan, Mewar)",4000,3000,1.3333333333333333,RGB
38070,The Buddha Descending from Trayastrimsa Heaven at Sankissa,Unavailable,Asian Art,19th century,Thailand,2364,4000,0.591,RGB
38072,Lamaist Mandala,Unavailable,Asian Art,17th century,Tibet,1140,1923,0.592823712948518,RGB
38347,Lha Mo Riding on a Donkey,Unavailable,Asian Art,18th century,Tibet,1500,2000,0.75,RGB
38822,Luohans,Unidentified,Asian Art,17th–18th century,China,4000,3186,1.2554927809165097,RGB
39482,Mandala of Wakamiya of Kasuga Shrine (Kasuga wakamiya mandara),Unavailable,Asian Art,early 14th century,Japan,3281,3407,0.9630173172879366,RGB
39483,Weighing Books,Guo Xu,Asian Art,early 16th century,China,1322,1941,0.6810922205048944,RGB
39536,Living Aloft: Master Liu's Retreat,Wen Zhengming,Asian Art,1543,China,1297,2000,0.6485,RGB
39540,Two eagles,Bada Shanren (Zhu Da),Asian Art,dated 1702,China,2290,4000,0.5725,RGB
39542,Riverbank,Dong Yuan,Asian Art,Unavailable,China,2778,4000,0.6945,RGB
39543,Palace banquet,Unidentified artist,Asian Art,Unavailable,China,3001,4000,0.75025,RGB
39546,Bamboo after Wen Tong,Ke Jiusi,Asian Art,dated 1343,China,2190,3722,0.5883933369156368,RGB
39547,"Bamboo, old tree, and rock",Wu Zhen,Asian Art,dated 1338,China,1138,2000,0.569,RGB
39548,Rocky Landscape with Pines,Zhang Xun,Asian Art,before 1346,China,1116,1861,0.599677592692101,RGB
39549,Traveling through Snow-Covered Mountains,Yao Yanqing (Tingmei),Asian Art,Unavailable,China,1358,2000,0.679,RGB
39550,The Simple Retreat,Wang Meng,Asian Art,ca. 1370,China,1972,3880,0.5082474226804123,RGB
39551,Mandarin ducks and cotton rose hibiscus,Lü Ji,Asian Art,late 15th century,China,2181,4000,0.54525,RGB
39552,Remonstrating with the emperor,Liu Jun,Asian Art,late 15th–early 16th century,China,2997,4000,0.74925,RGB
39553,Drunken recluse beneath an old tree,Chen Zihe,Asian Art,early 16th century,China,2997,4000,0.74925,RGB
39556,Joint Landscape,Shen Zhou,Asian Art,ca. 1509 and 1546,China,1961,1092,1.7957875457875458,RGB
39641,Ink Making,Unidentified artist,Asian Art,early 19th century,China,566,682,0.8299120234604106,RGB
39651,Equestrian Portrait of a Noble,Bakhta,Asian Art,ca. 1775,"India (Rajasthan, Devgarh)",4000,2988,1.3386880856760375,RGB
39654,Garden of the Inept Administrator,Wen Zhengming,Asian Art,1551,China,2986,2843,1.0502989799507563,RGB
